frame_path,video_id,video_path,label,label_int
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_000.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_001.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_002.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_003.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_004.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_005.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_006.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_007.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_008.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_009.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_010.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_011.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_012.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_013.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_014.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_015.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_016.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_017.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_018.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_019.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_020.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_021.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_022.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_023.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_024.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_025.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_026.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_027.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_028.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_029.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_030.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/02_13__exit_phone_room__CP5HFV3K/frame_031.jpg,02_13__exit_phone_room__CP5HFV3K,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/02_13__exit_phone_room__CP5HFV3K.mp4,fake,0
/kaggle/working/frames/fake/03_14__talking_against_wall__ZC2KYASW/frame_000.jpg,03_14__talking_against_wall__ZC2KYASW,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/03_14__talking_against_wall__ZC2KYASW.mp4,fake,0
/kaggle/working/frames/fake/03_14__talking_against_wall__ZC2KYASW/frame_001.jpg,03_14__talking_against_wall__ZC2KYASW,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/03_14__talking_against_wall__ZC2KYASW.mp4,fake,0
/kaggle/working/frames/fake/03_14__talking_against_wall__ZC2KYASW/frame_002.jpg,03_14__talking_against_wall__ZC2KYASW,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/03_14__talking_against_wall__ZC2KYASW.mp4,fake,0
/kaggle/working/frames/fake/03_14__talking_against_wall__ZC2KYASW/frame_003.jpg,03_14__talking_against_wall__ZC2KYASW,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/03_14__talking_against_wall__ZC2KYASW.mp4,fake,0
/kaggle/working/frames/fake/03_14__talking_against_wall__ZC2KYASW/frame_004.jpg,03_14__talking_against_wall__ZC2KYASW,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/03_14__talking_against_wall__ZC2KYASW.mp4,fake,0
/kaggle/working/frames/fake/03_14__talking_against_wall__ZC2KYASW/frame_005.jpg,03_14__talking_against_wall__ZC2KYASW,/kaggle/input/datasets/hungle3401/faceforensics/FF++/fake/03_14__talking_against_wall__ZC2KYASW.mp4,fake,0
